LHS,RHS,Count
NNP,Light,1
NNP,Water,1
NN,utility,3
NNP,Ark.,2
NNP,PSE,1
NN,cogeneration-plant,1
NN,operator,2
NNP,Houston,9
NP-SBJ,NNP CC NNP,5
VBN,powered,1
NN,diesel,1
NN,gas,3
NNS,turbines,1
NNP,Liberty,3
NNP,Bancorp,2
NP-SBJ,"NP PP , VP ,",1
NN,acquisition,8
NP,"NP , NP-LOC",2
NNP,Florence,3
NNP,Deposit,2
NNP,Ky.,1
VP,ADVP-TMP VBN NP PP-TMP,1
RB,first,5
VBN,announced,2
NNP,April,5
VBN,completed,5
VBN,valued,3
CD,13.1,1
VBD,exchanged,1
CD,78.64,1
JJ,common,6
NP,NP CD NNS,2
CD,"5,600",1
JJ,outstanding,7
NP,DT NN VBG NN,4
NNS,assets,15
VBG,exceeding,1
NNP,Hani,1
NNP,Zayadi,2
VP,"VBN S , S-ADV , S-ADV",1
VBN,appointed,1
NP,DT ADJP NN NN NN,3
RB,financially,1
JJ,troubled,3
NN,department,9
NN,store,2
NN,chain,2
NNP,Nov.,18
NNP,Frank,5
NNP,Robertson,1
VP,VBG ADVP-TMP,3
VBG,retiring,1
VP,VBD ADVP-TMP NP-PRD,2
RB,previously,7
NP,JJ VBG NN,4
VBG,operating,6
NNP,Zellers,1
JJ,retail,1
NP-LGS,"NP , NP",5
NP,JJ NP NNP NNP,1
JJ,Toronto-based,1
NNP,Hudson,2
NNP,Bay,3
NP,NP JJS NN NN NN,1
,NP,44
NP,"NNP CD , CD",6
NNP,October,11
CD,31,5
CD,1989,17
NP,DT JJ UCP JJ NN NNS,1
UCP,NNP CC JJ,2
NN,interest,32
NNS,rates,18
RB,below,1
NN,guide,1
JJ,general,13
NNS,levels,5
VP,VBP RB ADVP-TMP VP,1
VB,represent,1
NP,NP : NP .,21
JJ,PRIME,2
NN,RATE,3
NP,NP PP PP-LOC .,1
JJ,base,2
NP,JJ NNP NN NN JJ NNS,1
NN,center,6
JJ,FEDERAL,1
NNS,FUNDS,1
NP,"NP , NP , NP , NP",1
NP,ADJP JJ,2
ADJP,CD NN,32
CD,9,7
ADJP,QP NN,6
CD,8,25
CD,13\/16,1
JJ,low,2
NP,ADJP ADJP NN,1
CD,7\/8,6
ADJP,IN NN,1
IN,near,5
NN,closing,1
NN,bid,12
CD,15\/16,1
NNS,Reserves,1
VP,VBD PP-LOC PP-PRP PP,1
VBD,traded,1
JJ,overnight,1
NN,use,11
NNS,amounts,3
NP,QP -NONE- QP,1
QP,CC JJR,3
NN,Source,3
NP,NNP NNP PRN NNP,2
NNP,Fulton,1
NNP,Prebon,1
PRN,-LRB- NNP . -RRB-,1
NNP,U.S.A,1
NNP,Inc,13
NN,DISCOUNT,1
CD,7,6
NP,NP PP PP PP .,2
NN,depository,1
NNP,Reserve,4
JJ,CALL,1
NN,MONEY,1
CD,3\/4,8
NNS,brokers,3
NN,exchange,8
NN,collateral,2
JJ,COMMERCIAL,2
NN,PAPER,2
VP,VBN NP ADVP-MNR PP,2
VBN,placed,1
RB,directly,8
NP-LGS,NNP NNPS NNP NNP,1
NNP,General,10
NNPS,Motors,6
NNP,Acceptance,1
NP,NP : NP : NP : NP : NP : NP : NP,1
CD,8.55,2
QP,CD TO CD,9
CD,44,3
CD,8.25,1
CD,59,2
CD,8.40,1
CD,60,9
CD,89,1
CD,119,1
CD,7.90,4
CD,120,3
CD,149,1
CD,7.80,1
CD,150,8
CD,179,1
CD,7.55,1
CD,180,2
CD,270,1
JJ,High-grade,1
JJ,unsecured,3
NNS,notes,11
VP,VBN NP PP PP PP,1
VBN,sold,16
NNS,dealers,2
NP-LGS,JJ NNS,3
NNS,multiples,1
NP,$ CD -NONE-,37
CD,"1,000",2
NP,NP : NP : NP,2
CD,8.62,1
CD,8.45,1
NNS,CERTIFICATES,1
IN,OF,1
NN,DEPOSIT,1
NP,NP : NP : NP : NP : NP,2
CD,8.09,1
CD,8.04,2
CD,8.03,1
CD,7.96,2
CD,7.92,1
NP,NP PP .,5
JJ,Average,1
VP,"VBN NP PP PP , PP",1
NP-LGS,JJ NNP NNP NNS,1
JJ,primary,3
NP,JJ NNPS,2
JJ,negotiable,1
NNPS,C.D.s,1
PP,ADVP-TMP IN NP,1
RB,usually,5
JJ,minimum,3
NN,unit,15
NP-PRD,$ CD -NONE-,2
CD,"100,000",3
JJ,Typical,1
JJ,secondary,2
CD,8.53,1
CD,8.50,2
CD,8.30,1
NP,NNS NNS,6
NNS,BANKERS,1
NNS,ACCEPTANCES,1
NP,NP : NP : NP : NP : NP : NP,2
CD,8.49,1
CD,8.44,1
CD,8.27,1
CD,8.12,1
CD,8.05,2
CD,7.98,1
NP,NP VP .,1
NP,"JJ , JJ NN NN NNS",1
JJ,Negotiable,1
JJ,bank-backed,1
NN,credit,4
NNS,instruments,5
VP,ADVP VBG NP,2
RB,typically,7
VBG,financing,1
NN,import,1
NP,NNP JJ NNS,2
NNP,LONDON,2
JJ,LATE,1
NNS,EURODOLLARS,1
CD,5\/8,2
CD,11\/16,2
CD,9\/16,2
CD,7\/16,4
CD,3\/8,1
CD,5\/16,1
NP,NNP NNP NNP NNPS,1
NNP,INTERBANK,1
NNP,OFFERED,1
NNPS,RATES,1
NNP,LIBOR,1
NP,NP : NP : NP : NP,1
NP,NP PP PP PP-LOC PP .,1
NP,NN JJ NNS,1
NN,interbank,2
JJ,offered,2
NN,dollar,8
NNS,deposits,2
PP,VBN PP,9
NNS,quotations,1
JJ,FOREIGN,1
NNS,RATES,1
CD,13.50,1
CD,4.875,1
NNP,Switzerland,1
NNS,indications,2
JJ,comparable,3
JJ,lending,1
NNS,practices,3
VP,VBP ADVP-MNR PP,1
VBP,vary,2
RB,widely,3
NN,location,1
NN,TREASURY,1
NNS,BILLS,1
NNS,Results,1
NP,DT NAC-TMP NN,1
NAC-TMP,"NNP , NNP CD , CD ,",1
NN,auction,6
NP,JJ NNP NN NNS,2
NNS,bills,5
NN,discount,5
JJ,face,1
NN,value,11
NNS,units,3
QP,$ CD TO $ CD CD,1
CD,"10,000",6
CD,7.78,1
CD,13,6
NNS,weeks,11
CD,7.62,1
CD,26,3
NP,NNP NNP NNP NNP NNP .,2
NNP,FEDERAL,2
NNP,HOME,1
NNP,LOAN,1
NNP,MORTGAGE,2
NNP,CORP,1
NNP,Freddie,4
NNP,Mac,4
VBN,Posted,2
NNS,yields,11
JJ,30-year,2
NN,mortgage,23
NNS,commitments,4
NN,delivery,3
CD,9.78,1
NP,JJ JJ JJ NNS,6
JJ,standard,2
JJ,conventional,5
JJ,fixed-rate,2
CD,7.875,1
NP,ADJP ADJP JJ JJ NN NNS,1
CD,2,9
ADJP,NN VBD,2
VBD,capped,2
JJ,one-year,5
JJ,adjustable,2
NNP,Telerate,2
NNP,NATIONAL,1
NNP,ASSOCIATION,1
NNP,Fannie,7
NNP,Mae,7
NP,NP PP PP PRN,1
NP,CD NN NN NNS,1
PRN,-LRB- VP -RRB-,1
VBN,priced,13
JJ,par,4
CD,9.75,1
CD,8.75,1
NP,CD ADJP JJ JJ NN NNS,1
CD,6\/2,1
NP,NNP NNP NNP NNPS NNP,1
NNP,MERRILL,1
NNP,LYNCH,1
NNP,READY,1
NNPS,ASSETS,1
NNP,TRUST,1
CD,8.63,1
NP,VBN JJ NN,2
VBN,Annualized,1
JJ,average,16
NN,return,8
NNS,expenses,1
NP,DT JJ CD NNS,11
NN,forecast,1
JJ,future,5
NNS,returns,4
NP-SBJ,NP JJ JJ NN,3
JJ,gross,1
NN,product,3
VP,"VBD NP-EXT PP-TMP , PP-PRP",1
VBD,rose,22
NP-EXT,DT JJ CD NN,3
JJ,inflation-adjusted,1
CD,0.3,1
NNP,August,14
PP-PRP,ADVP IN NP,1
RB,mainly,1
NN,result,15
NN,service-industry,2
NP,NNPS NNP,1
NNPS,Statistics,4
NP-SBJ,DT NNP NNP,14
NNP,GDP,2
VP,VBD ADVP-PRD,3
ADVP-PRD,RB NP PP-DIR,1
CD,2.4,3
JJ,year-earlier,3
JJ,total,8
NNS,goods,3
NNS,services,8
NP-SBJ,NNPS NNP,3
NP-SBJ,NP PP-TMP,3
VP,VBD NP-EXT PP-DIR,4
NP-EXT,CD NN,15
CD,0.4,1
PP-DIR,IN NP-TMP,2
NNP,July,10
NN,Output,1
JJ,goods-producing,1
VP,VBD NP-EXT,1
CD,0.1,1
RB,Separately,4
SBAR,DT S,12
NP-SBJ,PRP$ NN NN NN,1
NN,industrial-product,1
NN,index,22
VP,"VBD NP-EXT PP-TMP , NP-ADV",1
VBD,dropped,3
CD,0.2,5
NNP,September,21
NP-ADV,PRP$ JJ JJ JJ NN,1
JJ,consecutive,2
JJ,monthly,7
NN,decline,3
NP,NP PP-LOC PP,3
CD,2.6,2
NP,PRP$ NNS NN NN,1
NNS,raw-materials,1
NP-SBJ,NNP NNPS NNP NNP,1
NNP,Columbia,8
NNPS,Pictures,4
NNP,Entertainment,5
VP,"VBN NP , ADJP-ADV , PP-DIR",1
ADJP-ADV,JJ NP-TMP,2
NP,DT JJ NNS CC NNS NN NN,1
JJ,recreational,1
NN,industry,14
NNP,Dow,8
NNP,Jones,4
NNP,Equity,1
NNP,Market,1
NNP,Index,2
NP-SBJ,NNP NNPS,8
VBN,acquired,4
NP-LGS,"NP , SBAR",3
NNP,Sony,18
NP-SBJ,NP NNPS NNP NNP,2
NP,NNPS POS,2
NNPS,People,2
NNPS,Savings,2
NNP,Financial,2
VP,VB ADVP-CLR NP SBAR-PRP,1
VBN,undervalued,1
VP,`` ADVP-MNR VBN '' NP PP-CLR,1
RB,unfairly,1
VBN,associated,2
NP,NP PP-LOC SBAR,3
NNP,England,2
NN,loan,11
NNS,losses,9
NNS,quarters,1
NP-SBJ,PRP$ NP NNPS NNP NN,1
NP,DT `` JJ NN,2
NN,exposure,1
UCP,NN CC JJ,3
NN,construction,5
VBN,caused,4
JJ,loan-loss,1
NN,seat,4
NNP,Mercantile,1
NP,"NP , ADVP",3
CD,"410,000",1
ADVP,RB NP PP,3
CD,"6,000",1
JJ,previous,6
NN,sale,17
NNP,Oct,1
NNS,Seats,1
VBN,quoted,2
CD,"400,000",1
CD,"425,000",1
VBN,asked,2
NP-SBJ,NP PP VP,2
VP,"VBZ NP-PRD , VP",1
CD,"550,000",1
VP,VBN NP NP-TMP-CLR,1
NP-TMP-CLR,NNP CD,1
NN,surprise,3
JJ,British,11
VP,VBD NP PP-PRP PP-MNR,1
VBD,cleared,1
JJ,bidding,3
NN,war,8
NNP,Jaguar,34
NNP,PLC,1
VBG,agreeing,1
VB,remove,2
NN,obstacle,2
NP-SBJ,NNP CC NNP NNP NNP NNP,1
NNP,Trade,3
NNP,Industry,3
NNP,Secretary,3
NNP,Nicholas,3
NNP,Ridley,9
VP,VBD NP NP-TMP SBAR,1
NNP,House,26
NNPS,Commons,2
VP,VB NP ADVP,4
VB,relinquish,1
JJ,golden,10
ADVP,ADVP SBAR,4
RB,long,6
VBP,agree,1
VP,VBZ NP PP-CLR,13
VBZ,restricts,1
NN,holding,3
PP-CLR,TO NP-ADV,1
NP-ADV,CD NN,5
VP,VBZ PP-TMP-CLR,1
VBZ,expires,2
S,S-TPC NP-SBJ VP .,5
S-TPC,"NP-SBJ VP , ''",1
VP,VBD PP-PRD `` SBAR,1
NP,NP JJS NNS,2
JJS,best,6
ADJP-PRD,VBN,1
VBN,assured,1
JJ,present,3
NN,climate,1
NN,uncertainty,2
VP,VBN ADVP-TMP,3
VBN,resolved,3
ADVP-TMP,ADVP PP,1
RB,quickly,7
JJ,possible,12
VBZ,fires,1
JJ,starting,1
NN,pistol,1
JJ,costly,1
NN,contest,2
NP,NP NN NNS,5
NNS,giants,2
JJ,leading,1
NN,luxury-car,1
NP-SBJ,DT NP CC NP,2
NNP,Ford,16
VBG,trying,3
VB,amass,1
JJ,%,1
NNS,stakes,2
NP,DT JJ ADJP NN,5
JJ,unwelcome,1
CD,13.2,1
JJ,prepared,3
VB,bid,1
JJ,entire,3
VBN,lobbied,1
VB,lift,3
NNS,restrictions,3
NNP,GM,11
JJ,friendly,2
VB,involve,2
JJ,joint,14
NNS,ventures,5
JJ,eventual,1
NN,stake,17
QP,RB IN CD,2
NN,action,9
VP,VBD NP S-ADV,1
VBD,caught,2
NN,management,23
RB,flat-footed,1
NN,minority,6
NN,deal,9
VB,fight,4
NP-SBJ,PRP PRN,1
PRN,-LRB- NNP -RRB-,1
VB,let,8
NN,run,3
NNP,Stephen,2
NNP,Reitman,1
NP,DT JJ NN NN NN,6
JJ,European,7
NN,analyst,12
NNP,UBS-Phillips,1
NNP,Drew,1
JJ,sure,5
VBP,believe,7
JJ,imminent,1
VP,"VBD NP-TMP PP-TMP , PP-TMP",1
VBD,skyrocketed,1
NN,announcement,7
JJ,temporary,6
NN,suspension,2
NNP,Stock,7
VP,VBD ADVP-PRD PP-DIR PP,1
ADVP-PRD,RB NP,6
NP,NP PRN PRN,1
NP,DT JJ CD NN,2
JJ,whopping,1
CD,122,2
NN,pence,7
CD,1.93,1
CD,16.3,2
NN,gain,6
NP,DT NN CD NN,1
CD,869,2
JJ,heavy,3
NN,volume,3
CD,9.7,2
NP,DT NNP JJ NN,3
JJ,over-the-counter,3
VBG,trading,3
NNP,Depositary,1
NNPS,Receipts,1
VP,"VBD PP-CLR , ADVP",4
VBD,closed,10
CD,13.625,1
ADVP,RB NP,7
CD,1.75,1
NNS,Analysts,4
VBP,expect,3
VP,"VB NP , NP-TMP , PP",1
NP-TMP,ADVP NN,1
JJ,initial,4
CD,900,4
CD,14.25,1
NP-SBJ,JJ DT NN,2
VBZ,values,1
QP,JJR IN # CD CD,1
#,#,1
CD,1.6,2
CD,2.53,1
NN,Speculation,1
NN,fight,3
VP,VBN S PP-TMP,2
VBN,sent,2
VP,VBG,12
VBG,soaring,2
VP,VBG PP-LOC-CLR PP-TMP,1
VBG,languishing,1
CD,400,4
NP,NP NNP CD NN,1
NNP,Sept.,5
VP,VBZ `` PP-LOC-PRD PP-TMP,1
JJ,driving,1
NN,moment,6
VBD,observed,2
NNP,Bob,1
NNP,Barber,1
NP,NNS NNP NNP CC NNP,1
NNP,Capel,2
VP,VB NP PP-PUT S,1
PP-PUT,IN NP,7
NP,DT JJR NN,10
NP,NP `` JJ NN,1
JJ,white,2
NN,knight,1
NN,countermove,1
NNS,hopes,4
ADJP-PRD,JJ CC JJ,5
JJ,independent,2
JJ,British-owned,1
VP,VBZ RB ADJP-PRD SBAR,1
WHADVP,WRB JJ,2
VP,VB ADJP-PRD ADVP-TMP,1
JJ,willing,6
VP,VB NP PP-PRP,3
S-TPC,"PP-PRP , NP-SBJ ADVP `` VP",1
PP-PRP,IN IN NP,7
IN,Because,5
JJ,longstanding,1
NN,rivalry,1
VBZ,wants,6
S,ADJP-PRD SBAR-SBJ,1
SBAR-SBJ,-NONE- S,1
VBZ,pays,1
JJ,huge,5
NN,packet,1
PP-CLR,IN PRN,1
NNP,Lawson,1
NP,NP NNP NNP NNP,3
NNP,Research,2
NNP,Institute,4
NP-SBJ,NP ADJP,7
NNS,People,1
JJ,GM-Jaguar,1
NNS,talks,17
VBD,agreed,14
VB,shut,1
NP,NNP NNPS,14
S-TPC,S CC S,1
VP,"VBZ CC VP ,",1
CC,either,2
NN,shootout,1
VP,VB NP-PRD PP-LOC,1
NN,town,3
NP-SBJ,CD NN,9
NN,person,5
DT,Another,4
JJ,close,5
VP,"VBD , SBAR",1
SBAR,-NONE- `` S,1
VP,VBZ ADJP-PRD S SBAR-ADV,1
VB,justify,3
VP,VBG NP PP-CLR,21
VBG,paying,2
JJ,silly,2
JJ,out-and-out,1
VB,start,5
S,"PP-LOC , NP-SBJ VP . ''",3
NN,statement,9
NN,board,12
VBN,consulted,1
PRN,-LRB- NNP NN -RRB-,1
VBN,surprised,2
VBD,emphasized,1
NNS,holders,3
VBG,representing,1
CD,75,3
VBG,voting,2
NN,meeting,29
VBD,noted,3
S,"NP-SBJ , PP , ADVP-TMP VP",1
NN,shareholder,7
VB,call,4
NP,JJ DT NN,3
NP-SBJ,NNP NN NNS,2
VP,VBZ PP-LOC-PRD,3
VP,VB PP-CLR ADVP,1
VB,benefit,3
VP,VBN PP-TMP PP-DIR,1
VBN,moved,3
NNS,hands,6
NNS,arbitragers,1
NP,DT JJS NN NN,5
JJS,highest,3
ADVP,-NONE-,7
NNS,defenses,1
JJ,hostile,6
VP,VBN NP PRN SBAR-PRP,1
VBN,weakened,1
VBP,add,1
JJR,fewer,2
NP-LGS,NNS CC NN,1
VBD,declined,7
PP-CLR,PP CC PP,1
NP,DT NNS S,2
NP,DT JJ NNP NNS NN,1
S,CC NP-SBJ VP . '',5
S,"NP-SBJ , ADVP , VP",2
VP,TO `` VP,2
VB,consider,3
NP,DT PRP$ NNS,1
PRP$,our,22
VB,explore,1
NNS,matters,5
RBR,further,1
IN,Although,8
NP,NNP NN S,1
QP,IN TO CD,2
IN,up,3
VP,VBZ RB ADVP-TMP VP,2
RB,yet,9
WHNP,WHADVP NNS,1
VBD,suggested,3
VP,VB ADJP-PRD PP-TMP PP,1
JJ,valuable,2
NNS,windfalls,1
VB,reap,1
S,`` NP-SBJ PRN `` VP . '',1
NP-SBJ,"NP PP , PP",1
PRP$,Our,4
JJ,intensive,3
NNS,discussions,5
NN,invitation,2
PRN,", '' S ,",2
VP,VBP PP S,1
PP,RB NP,1
NNS,objectives,1
JJ,cooperative,2
NN,relationship,11
NN,independence,1
VB,ensure,2
JJ,secure,1
JJ,attractive,3
JJ,long-term,6
VBN,shocked,1
PP,"IN NP-LGS , SBAR-PRP",1
NP-LGS,NP NN,2
VP,VBG NP ADVP-TMP,4
VBG,consulting,5
RB,Indeed,2
VBG,taking,5
JJ,calculated,2
NN,risk,6
NN,howl,1
NNS,protests,1
NP,DT NN NNP NNP,1
NN,opposition,2
NNP,Labor,4
NNP,Party,2
VBD,accused,2
NNP,Thatcher,2
NN,administration,9
VP,VBG ADVP,1
VBG,backing,1
JJ,promised,1
NN,protection,3
JJ,privatized,1
VBD,retained,1
JJ,single,5
PP-TMP,IN S-NOM,12
VP,VBG NP FRAG,1
FRAG,PP,3
PP,IN,3
JJ,Conservative,1
VB,reflect,1
NN,desire,2
VB,shed,1
RB,politically,2
JJ,sensitive,2
NN,election,3
NP,JJ CD,5
CD,1991,9
VP,VBZ ADVP-TMP NP-PRD,1
NP-PRD,NP ADVP SBAR,1
VP,VB S ADVP-TMP,1
ADVP-PRD,ADVP CC ADVP,1
RB,done,1
NNP,Daniel,1
NN,professor,1
NN,motor,6
NNP,Cardiff,1
NNP,Wales,1
VP,ADVP-TMP VBN NP PP,1
VBN,buffeted,1
VBG,slowing,2
NN,economy,15
VP,ADVP-MNR VBN NP PP,2
VBN,hurt,1
NP-LGS,NP PP-LOC,2
NP,JJ NN POS,5
NN,shake-up,1
NNP,Mrs.,13
NN,cabinet,1
VB,want,5
VP,VB S PP-MNR,2
VB,favor,1
VBG,allowing,3
VB,preclude,1
VP,VBD PP-CLR PP,1
VBD,hinted,1
NN,motive,1
VBG,answering,1
NNS,questions,5
NNP,Parliament,1
VP,VBG PRT NP `` S-PRP,1
VP,VB NP SBAR-PRP,2
VB,clear,2
VP,VBZ ADJP-PRD PP,2
NNS,contestants,1
NNP,Bradley,1
NNP,Stertz,1
NNP,Detroit,4
NN,article,6
NP-SBJ,"NP , CC NP",1
NNP,Chemical,1
NNP,Midland,1
NNP,Mich.,1
NP,"NP , NP-LOC ,",2
NP-LOC,NNP,18
NNP,Indianapolis,2
VBD,completed,3
NN,formation,1
NNP,Elanco,2
VBG,combining,3
NP,NP CONJP NP,5
JJ,plant-sciences,1
CONJP,RB RB IN,6
JJ,pest-control,1
VP,"VB NP-PRD , PP",1
NP-PRD,NP PP-LOC,9
NP,DT JJS JJ JJ NN,1
JJ,research-based,1
JJ,agricultural,3
NNP,America,16
VBN,projected,3
JJ,first-year,1
NN,revenue,11
CD,1.5,1
VP,"VB NP , PP",2
NNP,William,5
NNP,Wise,1
NP,DT NNP NNP NNP NNP NNP NN,1
NNP,El,1
NNP,Paso,1
NNP,Natural,1
NNP,Gas,2
NP,DT NN CC NNS NN,2
NN,energy,2
NNS,natural-resources,1
VP,"VBN NP PP-CLR , S-ADV",2
JJ,additional,5
NN,post,2
NP,"NP , NP , SBAR",7
NNP,Travis,1
NNP,H.,1
NNP,Petty,1
CD,61,3
VP,VBZ PP,3
VBZ,continues,3
NN,chairman,16
NN,parent,2
NNP,Tomash,3
JJ,67-year-old,1
NN,founder,3
NP,NNS NNS NNS,2
NNS,communications,5
NX,NX CC NX,13
NX,NN,8
NNPS,Dataproducts,2
VBG,fighting,1
NN,tender,1
NNP,DPC,1
NNP,Acquisition,1
NNPS,Partners,1
NP-LGS,ADJP NNP NNPS NNPS,1
ADJP,NNP JJ,2
JJ,York-based,1
NNP,Crescott,1
NNPS,Investments,2
NNPS,Associates,2
S,PP-LOC PRN NP-SBJ VP .,1
NNS,circumstances,3
VP,VBD ADJP-PRD PP-PRP,1
JJ,unable,4
VB,devote,1
VP,JJ NP,5
PP-PRP,RB IN NP,1
NN,emeritus,2
NN,comment,3
PP,IN SBAR,5
NNP,Q.,1
NNP,Marston,2
JJ,medical,3
NNS,devices,11
NP-SBJ,"NP , ADJP ,",4
NNP,Dr.,8
CD,66,2
VBZ,succeeds,3
NNP,Alexander,2
NNP,T.,1
NNP,Daignault,1
VP,VB PP-CLR ADVP-PRP,1
VB,stand,2
NN,re-election,2
ADVP-PRP,JJ PP,1
JJ,due,12
NP,JJ NN NN NN,1
JJ,mandatory,4
NN,retirement,3
NNP,SFE,3
NNPS,Technologies,3
NNP,P.,3
NNP,Kuehn,3
JJ,executive,1
NP,DT JJ NN NNS NN,1
NN,electronics,1
NNS,parts,5
NP,DT JJ NNP NNP,2
NN,background,1
NN,crisis,1
NNP,Alan,2
NNP,D.,12
NNP,Rubendall,3
NNP,Jerome,1
NNP,J.,8
NNP,Jahn,2
VBG,resigning,1
NP,`` NP '' PP,3
JJ,mutual,1
VB,pursue,3
S,NP-SBJ PRN VP .,8
VB,retain,2
CD,nine,8
VP,VBN NP-TMP,5
VBN,ended,6
CD,29,4
JJ,net,9
NN,loss,3
CD,"889,000",1
CD,23.4,1
NP-SBJ,IN,4
IN,That,3
VBN,compared,7
NP,NP PP PP PP-TMP,1
NN,operating,4
CD,1.9,1
CD,27.4,1
JJ,national,8
NP-SBJ,NNP NNPS NNS,1
VP,"VBD NP-TMP PP-CLR , ADVP",1
CD,31.25,1
CD,6.25,1
NP-SBJ,NP PP PP-LOC,3
NNS,Sales,5
VP,VBD NP-EXT PP-TMP PP-DIR,2
VBD,fell,6
CD,4.2,3
PP-DIR,IN ADVP-TMP,1
RB,earlier,10
VP,VB S PP-TMP,2
VB,continue,7
VB,soften,1
NP,DT NNS RB,1
RB,ahead,4
JJ,stronger-than-expected,1
NN,pace,4
NP-TMP,RB DT NN,2
S,"NP-SBJ , PP-TMP , ADVP-TMP VP",1
JJ,sharp,3
NNS,signs,2
NP,VBG,4
VBG,retreating,1
NNS,Statistics,1
CD,12,8
RB,normally,1
VBP,account,1
CD,94,1
NP,NP NN NN NNS,1
NP,JJ NNP POS,1
JJ,non-communist,1
NN,passenger,2
VBD,showed,6
NNS,registrations,2
VP,"VBD NP PP-TMP , ADVP",1
VBD,totaled,2
CD,"911,606",1
ADVP,ADVP CC ADVP,1
CD,21,3
NNP,Tokyo,18
VP,VBD NP-TMP PP-DIR PP-LOC,1
VBD,rebounded,1
JJ,daily,3
RB,relatively,3
NNS,dealings,4
VP,"VBD , SBAR-ADV",2
NNP,Frankfurt,2
VP,VBD ADVP-CLR,3
VBD,ended,4
ADVP-CLR,RBR,3
RBR,higher,4
NNP,Nikkei,2
NP,CD VBN NNS,1
CD,225,1
VBN,selected,1
VP,VBD ADVP-PRD PP-DIR,3
CD,132.00,1
NNS,points,8
CD,35549.44,1
VP,VBD NP-EXT NP-TMP,2
NP-EXT,CD,3
CD,109.85,1
NN,Volume,3
JJ,First,3
NN,Section,4
VP,"VBN NP PP-CLR , ADVP",1
VBN,estimated,9
CD,582,1
NP-SBJ,VBG NNS,1
VBG,Advancing,1
VP,"VBD NP ADVP , SBAR-ADV",1
VBD,outnumbered,1
NNS,decliners,1
ADVP,CD TO CD,1
CD,542,1
CD,362,1
NP-SBJ,CD NNS,3
CD,208,1
JJ,unchanged,5
JJ,Small-lot,1
VBN,targeted,3
JJ,incentive-backed,1
VP,VBN ADVP-DIR NP,1
VBN,pushed,1
ADVP-DIR,RP,5
NNS,sectors,2
VP,"VP CC VP , S-ADV",2
VBD,failed,7
VB,attract,3
VBD,remained,5
JJ,sluggish,2
NP-SBJ,JJ NN,12
JJ,overall,5
JJ,mixed,2
NP-SBJ,"NP , CONJP NP ,",1
NNS,Individuals,1
VP,VBG PP-PRP,1
VP,ADVP-MNR VBD NP-TMP,1
RB,actively,1
VBD,bought,4
NN,official,13
NNP,Wako,1
VP,"VBP NP , PP",2
JJ,quick,5
NNS,profits,8
IN,despite,6
JJ,destabilizing,1
JJ,external,1
NNS,factors,3
JJ,political,17
VBN,tied,4
NP,DT VBG NN POS,1
VBG,ruling,1
NN,fate,1
NP,NP-TMP NNP NNP NNS,1
NP-TMP,JJ NN POS,1
NNP,Lower,1
:,-,4
NN,event,2
VB,affect,3
NNP,Price,1
VBN,listed,3
VP,VBD NP-EXT PP-TMP,2
CD,5.16,1
VP,VBD ADVP-PRD PP-LOC PP-TMP,1
CD,16.05,1
CD,0.60,1
CD,2692.65,1
JJ,Second,2
NP-EXT,CD NNS,1
CD,21.44,1
VP,VBD ADVP-PRD S-CLR,1
CD,6.84,1
CD,0.19,1
VB,close,2
CD,3642.90,1
NP-SBJ,JJ NN NN,3
CD,14,4
JJ,Institutional,2
VP,VBD PP-LOC-PRD NP-TMP,1
NNS,sidelines,2
NN,life-insurance,1
S,NP-SBJ ADJP-PRD S,2
VB,read,5
NN,direction,4
ADVP,LS,6
LS,First,2
VP,VBP ADJP-PRD SBAR-ADV,1
JJ,likely,10
VP,VB PP-LOC-PRD,1
JJ,increased,1
NN,anticipation,1
NN,inflation,2
NP,VBG NN NNS,2
NN,consumer,11
NNS,prices,21
VBN,reported,4
LS,Second,2
VP,VBG NP PP,11
VBG,showing,2
JJ,persistent,1
NN,strength,4
NP,NP PP-LOC VP,1
NN,slowdown,1
JJ,economic,17
NNS,indicators,8
LS,Third,2
NN,oil,3
VP,VBN SBAR-ADV,2
VBN,declined,2
IN,although,7
NN,supply,2
VBG,increasing,2
NN,topic,2
VBD,attracted,2
NP-PRD,"NP PP , VP",2
NNP,Mitsubishi,24
NNP,Estate,18
NN,purchase,17
CD,51,3
NNP,Rockefeller,14
NNP,Center,7
NNPS,Properties,1
VP,VBD NP NP-TMP PP-LOC,1
VP,"VBD NP PP-LOC , ADVP",1
NN,day,8
CD,2680,1
NNS,gains,5
VBD,sparked,1
NN,real-estate,1
NNS,traders,4
NP-SBJ,NNP NNP CC NNP,3
NNP,Sumitomo,2
NNP,Realty,1
NNP,Development,1
CD,40,5
CD,2170,1
NNP,Heiwa,1
NNP,Real,1
VP,VBD NP PP-DIR,3
VBD,gained,1
CD,2210,1
NN,Investor,1
NN,focus,1
VP,VBD ADVP-MNR,1
VBD,shifted,1
NN,morning-session,1
NNS,winners,1
VP,VBD PRT S PP-TMP,1
VBD,turned,3
NNS,losers,1
NN,stock-market,1
NN,news,5
NP-SBJ,DT NNP NNP NNP,10
NNP,Friday,3
NN,balance,4
JJ,margin,1
VP,"VBD NP-EXT , PP-DIR",2
NP-EXT,NP PRN,1
CD,189.8,1
NNS,yen,14
CD,1.34,1
CD,7.160,1
CD,trillion,7
CD,50.46,1
NNS,positions,3
